FIYAT,IL,ILCE,MAHALLE,ILAN_NO,ARSA_TIPI,METREKARE,KREDIYE_UYGUNLUK,TAPU_DURUMU,TAKAS,KAT_KARSILIGI,ILGILI_BELEDIYE,METREKARE_BIRIM_FIYAT,ADA,PARSEL,KIRA_GETIRISI
165000,BALIKESIR,AYVALIK,ALTINOVA,42916-1540,I_K,255,UYGUN,MUSTAKIL PARSEL,EVET,HAYIR,AYVALIK,,,,
240000,BURSA,YENISEHIR,KOZDERE,69245-16,TARLA,7750,UYGUN DEGIL,MUSTAKIL PARSEL,HAYIR,HAYIR,YENISEHIR,35.0,118.0,53.0,
5000000,NIGDE,MERKEZ,AKTAS (DEVLET),117875-28,I_S,52000,,,,HAYIR,,96153.0,,,
6848000,NIGDE,CEYHAN,YALAK,0-35832104,TARLA,428000,,,,HAYIR,,,,659.0,
115000,ADIYAMAN,KAHTA,CUMHURIYET,118904-18,M_A,410,,,,HAYIR,,,,,
77000,ADANA,ALADAG,CERITLER,119467-5,I_K,500,,,,HAYIR,,,,,
185000,ANKARA,AKYURT,SAMUT,26985-2054,TARLA,1410,BILINMIYOR,MUSTAKIL PARSEL,EVET,HAYIR,AKYURT,,2801.0,54.0,
1380000,ANKARA,KECIOREN,KARSIYAKA,85799-1691,I_K,2150,BILINMIYOR,HISSELI TAPU,HAYIR,HAYIR,,,91370.0,99999.0,
285000,MUGLA,MILAS,MESELIK,10886-3404,I_K,710,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,MILAS,,0.0,0.0,
7500000,AYDIN,DIDIM,FEVZIPASA,111124-4,I_T,10359,BILINMIYOR,MUSTAKIL PARSEL,HAYIR,HAYIR,AYDIN DIDIM,,3178.0,1.0,
215000,CANAKKALE,AYVACIK,BAHARLAR,65585-675,I_K,1623,UYGUN,MUSTAKIL PARSEL,EVET,HAYIR,,,160.0,11.0,
125000,CANAKKALE,AYVACIK,BAHARLAR,65585-677,I_K,750,BILINMIYOR,HISSELI TAPU,HAYIR,HAYIR,,,,,
320000,ELAZIG,MERKEZ,POYRAZ (POYRAZ),117554-9,TARLA,8034,,,,HAYIR,,,,,
660000,BALIKESIR,GOMEC,KARAAGAC,114052-364,I_K,637,UYGUN,MUSTAKIL PARSEL,EVET,HAYIR,GOMEC,,,,
60000,ANKARA,BALA,BEYNAM,10477-299,I_K,1066,,,,HAYIR,,,,,
165000,KOCAELI,KARAMURSEL,INEBEYLI,80164-38,TARLA,1582,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,KARAMURSEL,,,,
165000,BALIKESIR,AYVALIK,ALTINOVA,42916-1540,I_K,255,UYGUN,MUSTAKIL PARSEL,EVET,HAYIR,AYVALIK,,,,
240000,BURSA,YENISEHIR,KOZDERE,69245-16,TARLA,7750,UYGUN DEGIL,MUSTAKIL PARSEL,HAYIR,HAYIR,YENISEHIR,35.0,118.0,53.0,
5000000,NIGDE,MERKEZ,AKTAS (DEVLET),117875-28,I_S,52000,,,,HAYIR,,96153.0,,,
6848000,ADANA,CEYHAN,YALAK,0-35832104,TARLA,428000,,,,HAYIR,,,,659.0,
115000,ADIYAMAN,KAHTA,CUMHURIYET,118904-18,M_A,410,,,,HAYIR,,,,,
77000,ADANA,ALADAG,CERITLER,119467-5,I_K,500,,,,HAYIR,,,,,
185000,ANKARA,AKYURT,SAMUT,26985-2054,TARLA,1410,BILINMIYOR,MUSTAKIL PARSEL,EVET,HAYIR,AKYURT,,2801.0,54.0,
1380000,ANKARA,KECIOREN,KARSIYAKA,85799-1691,I_K,2150,BILINMIYOR,HISSELI TAPU,HAYIR,HAYIR,,,91370.0,99999.0,
285000,MUGLA,MILAS,MESELIK,10886-3404,I_K,710,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,MILAS,,0.0,0.0,
7500000,AYDIN,DIDIM,FEVZIPASA,111124-4,I_T,10359,BILINMIYOR,MUSTAKIL PARSEL,HAYIR,HAYIR,AYDIN DIDIM,,3178.0,1.0,
215000,CANAKKALE,AYVACIK,BAHARLAR,65585-675,I_K,1623,UYGUN,MUSTAKIL PARSEL,EVET,HAYIR,,,160.0,11.0,
125000,CANAKKALE,AYVACIK,BAHARLAR,65585-677,I_K,750,BILINMIYOR,HISSELI TAPU,HAYIR,HAYIR,,,,,
320000,ELAZIG,MERKEZ,POYRAZ (POYRAZ),117554-9,TARLA,8034,,,,HAYIR,,,,,
660000,BALIKESIR,GOMEC,KARAAGAC,114052-364,I_K,637,UYGUN,MUSTAKIL PARSEL,EVET,HAYIR,GOMEC,,,,
60000,ANKARA,BALA,BEYNAM,10477-299,I_K,1066,,,,HAYIR,,,,,
165000,KOCAELI,KARAMURSEL,INEBEYLI,80164-38,TARLA,1582,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,KARAMURSEL,,,,
