FIYAT,IL,ILCE,MAHALLE,ILAN_NO,ARSA_TIPI,METREKARE,KREDIYE_UYGUNLUK,TAPU_DURUMU,TAKAS,KAT_KARSILIGI,ILGILI_BELEDIYE,METREKARE_BIRIM_FIYAT,ADA,PARSEL,KIRA_GETIRISI
315000,ANTALYA,KORKUTELI,UZUNOLUK,91556-69,I_K,598,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,,,1371,4,
370000,ANKARA,CANKAYA,KEKLIK PINARI,118189-20,K_T,148,UYGUN DEGIL,HISSELI TAPU,HAYIR,HAYIR,CANKAYA,2500,27723,5,
1200000,DENIZLI,MERKEZEFENDI,ALTINTOP,102131-2157,I_T,204,UYGUN,MUSTAKIL PARSEL,EVET,HAYIR,MERKEZEFENDI,,0,0,
2000000,ADANA,SEYHAN,AKKAPI,77451-956,TARLA,11500,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,SEYHAN,,,,
215000,HATAY,PAYAS,KARACAMI,18109-4353,I_K,559,,,,EVET,,,,,
100000,KONYA,SELCUKLU,TATKOY,95118-34,BAG,1418,BILINMIYOR,MUSTAKIL PARSEL,HAYIR,HAYIR,SELCUKLU,63,,,
220000,MERSIN(ICEL),TARSUS,FAHRETTIN PASA,114588-33,I_K,466,UYGUN,MUSTAKIL PARSEL,EVET,HAYIR,TARSUS,410,,,
4000000,YALOVA,ALTINOVA,SUBASI (SUBASI),3165-5319,I_S,6376,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,ALTINOVA,,,,
4050000,ISTANBUL,BAGCILAR,15 TEMMUZ,46626-738,I_T,342,BILINMIYOR,MUSTAKIL PARSEL,HAYIR,HAYIR,,,,,
1050000,MERSIN(ICEL),ANAMUR,FATIH,119453-15,TARLA,2500,UYGUN,HISSELI TAPU,HAYIR,HAYIR,ANAMUR,,,,
250000,AMASYA,MERZIFON,BUGDAYLI,84489-271,TARLA,21016,,,,HAYIR,,,,,
600000,BALIKESIR,ERDEK,TATLISU,117664-21,TARLA,1800,UYGUN,BILINMIYOR,HAYIR,HAYIR,ERDEK,,,,
6000000,ANKARA,CANKAYA,ALACAATLI,3763-5379,I_K,1000,,,,HAYIR,,,,,
67500,ANKARA,BALA,SENTEPE,77383-253,TARLA,16895,,MUSTAKIL PARSEL,,HAYIR,BALA,4000,,,
195000000,KOCAELI,KARTEPE,UZUNCIFTLIK,66791-114,I_S,130000,,,,HAYIR,KARTEPE,,,,
465000,TEKIRDAG,KAPAKLI,KAZIM KARABEKIR,0-35730316,I_K,625,,,,HAYIR,,,,,
135000,ANKARA,GOLBASI,YAYLABAG,10249-2603,I_K,153,,,,HAYIR,GOLBASI BELEDIYESI,,,,
2000000,MERSIN(ICEL),ANAMUR,OVABASI,119453-14,TARLA,10600,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,ANAMUR,,,,
2250000,KOCAELI,BASISKELE,SEPETLIPINAR,64169-67,I_S,2020,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,BASISKELE,1,760,5,
175000,KONYA,MERAM,YAYLAPINAR,119393-12,BAHCE,1000,UYGUN,HISSELI TAPU,EVET,HAYIR,MERAM,,38336,27,
395000,MERSIN(ICEL),TOROSLAR,CAGLARCA,90520-636,BAHCE,3609,UYGUN,,HAYIR,HAYIR,TOROSLAR,,138,4,
180000,KONYA,KULU,KOZANLI,67219-472,I_K,7324,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,KULU,24,156,1,
80000000,ISTANBUL,ESENYURT,TALATPASA,83415-480,I_T,11000,UYGUN,MUSTAKIL PARSEL,EVET,EVET,ESENYURT,,0,0,
52000,KIRKLARELI,LULEBURGAZ,HAMITABAT,110164-87,TARLA,892,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,LULEBURGAZ,,0,0,
150000,ANTALYA,AKSU,TOPALLI,65609-1787,TARLA,17000,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,AKSU,,,,
2300000,MERSIN(ICEL),TARSUS,KEMALPASA,89240-616,I_S,3099,,,,HAYIR,,,,,
300000,ANKARA,KAHRAMANKAZAN,INE,4629-4145,TARLA,17838,,,,HAYIR,,,,,
185000,KOCAELI,KARAMURSEL,YALAKDERE,56374-1387,TARLA,1666,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,KARAMURSEL,,,,
840000,BALIKESIR,ALTIEYLUL,GAZIOSMANPASA,43208-1785,I_K,378,,MUSTAKIL PARSEL,,HAYIR,ALTIEYLUL,,,,
200000,GAZIANTEP,SAHINBEY,UFACIK,76115-468,BAHCE,3191,,MUSTAKIL PARSEL,EVET,HAYIR,SAHINBEY,,113,3,
240000,IZMIR,GUZELBAHCE,CAMLI,91622-3974,TARLA,3074,,,,HAYIR,,,,,
150000,SAMSUN,TERME,EVCI,116358-45,BAHCE,6800,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,TERME,22,,,
399000,BURSA,OSMANGAZI,CAGLAYAN,115984-100,I_K,540,BILINMIYOR,MUSTAKIL PARSEL,,HAYIR,OSMANGAZI,,,,
70000,ANKARA,CANKAYA,TOHUMLAR,85000-418,TARLA,3100,,HISSELI TAPU,HAYIR,HAYIR,CANKAYA,,,,
250000,BURDUR,CAVDIR,BOLMEPINAR,88351-230,TARLA,25530,UYGUN,,EVET,HAYIR,,,,,
575000,BALIKESIR,AYVALIK,NAMIK KEMAL,42916-1548,ZEYTINLIK,5230,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,AYVALIK,,,,
224000,ANKARA,SINCAN,UCRET,48228-1816,TARLA,6402,BILINMIYOR,MUSTAKIL PARSEL,HAYIR,HAYIR,SINCAN,,116,,
1000,ANKARA,ETIMESGUT,GOKSU,81610-6711,I_K,11900,BILINMIYOR,MUSTAKIL PARSEL,HAYIR,EVET,YENIMAHALLE,,1111,1111,
195000,ANKARA,GOLBASI,BALLIKPINAR,10249-2598,I_K,1500,UYGUN,MUSTAKIL PARSEL,,HAYIR,GOLBASI,,,,
11200000,ISTANBUL,BEYKOZ,RIVA,2995-146,I_K,5329,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,BEYKOZ,,,1198,
59000,BALIKESIR,KEPSUT,KECIDERE,108245-711,M_A,864,,KAT MULKIYETI,,HAYIR,,,,,
550000,CANAKKALE,AYVACIK,ARIKLI,88709-282,ZEYTINLIK,1947,,,,HAYIR,,,,,
1750000,BOLU,MERKEZ,SANDALLAR,36137-765,I_K,1158,,MUSTAKIL PARSEL,HAYIR,HAYIR,BOLU,1000,1799,12,
760000,BARTIN,MERKEZ,KOCAREIS,113552-17,M_A,11868,UYGUN,MUSTAKIL PARSEL,EVET,HAYIR,BARTIN,,115,39,
115000,BALIKESIR,BANDIRMA,YENI,119599-11,M_A,174,UYGUN,HISSELI TAPU,EVET,HAYIR,BANDIRMA,174,11,40,
900000,IZMIR,MENDERES,SASAL,51442-1699,I_T,380,,,,HAYIR,,,,,
343000,BALIKESIR,EDREMIT,KADIKOY,6579-2060,I_T,310,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,EDREMIT,1100,,,
308000,KAYSERI,TALAS,RESADIYE,0-35812290,M_A,486,BILINMIYOR,MUSTAKIL PARSEL,HAYIR,HAYIR,TALAS,,1463,5,
90000,CANAKKALE,EZINE,KIZILKOY,118156-18,TARLA,7400,BILINMIYOR,MUSTAKIL PARSEL,HAYIR,HAYIR,EZINE,12163,,1112,
135000,IZMIR,BERGAMA,KARAVELILER,95191-184,I_K,275,,MUSTAKIL PARSEL,,HAYIR,BERGAMA,,,,
330000,VAN,EDREMIT,BAKACIK,50626-2036,TARLA,4900,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,EDREMIT BELEDIYESI,65,0,117,1000.0
65000,CANAKKALE,MERKEZ,CINARLI,92215-1446,TARLA,27500,,,,EVET,CANAKKALE,,0,941,
240000,ADANA,SEYHAN,MIDIK,77451-1171,I_K,435,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,SEYHAN,,,,
350000,BALIKESIR,EDREMIT,ZEYTINLI,83306-106,ZEYTINLIK,7000,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,,,,,
375000,BALIKESIR,MANYAS,DURA,0-28152456,BAHCE,9000,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,MANYAS BALIKESIR,42,115,14,
789000,IZMIR,MENEMEN,CAVUS,109304-103,TARLA,11000,,,,HAYIR,,,,,
15750000,ANKARA,YENIMAHALLE,MACUN,71571-275,HASTANE,3500,BILINMIYOR,MUSTAKIL PARSEL,EVET,HAYIR,YENIMAHALLE,4500,1,1,1.0
1590000,ANTALYA,FINIKE,YENI,113731-352,TARLA,5224,UYGUN,,HAYIR,HAYIR,,,,,
435000,ESKISEHIR,TEPEBASI,SAKINTEPE,93644-726,TARLA,7389,,MUSTAKIL PARSEL,HAYIR,HAYIR,,,12654,24,
255000,MUGLA,YATAGAN,YENI,0-35949267,ZEYTINLIK,5300,,,,HAYIR,,,,,
225000,ANKARA,KAHRAMANKAZAN,SARILAR,116405-13,BAHCE,2467,,,,HAYIR,,,,,
250000,IZMIR,MENDERES,CATALCA,71254-338,TARLA,1700,UYGUN,,HAYIR,HAYIR,MENDERES,,,,
1250000,ANTALYA,KEPEZ,YENI DOGAN,82001-110,K_T,484,UYGUN,MUSTAKIL PARSEL,EVET,HAYIR,KEPEZ,2500,7046,2,10000.0
