FIYAT,IL,ILCE,MAHALLE,ILAN_NO,ARSA_TIPI,METREKARE,TAPU_DURUMU,ILGILI_BELEDIYE,METREKARE_BIRIM_FIYATI,ADA,PARSEL,KIRA_GETIRISI,TAKAS_BILINMIYOR,TAKAS_EVET,TAKAS_HAYIR,KAT_KARSILIGI_EVET,KAT_KARSILIGI_HAYIR,KREDIYE_UYGUNLUK_BILINMIYOR,KREDIYE_UYGUNLUK_UYGUN,KREDIYE_UYGUNLUK_UYGUN DEGIL
1800000,BALIKESIR,GOMEC,KEREMKOY,86527-507,K_T,11200,MUSTAKIL PARSEL,,,,,,0,0,0,0,1,0,1,0
95000,ORDU,UNYE,GUZELYALI,114909-40,M_A,202,HISSELI TAPU,,,,,,0,0,1,0,1,0,0,0
525000,ISTANBUL,SILIVRI,SELIMPASA,691682-3,K_T,515,MUSTAKIL PARSEL,SILIVRI,825,88,789,,0,0,1,0,1,0,1,0
169000,KOCAELI,KANDIRA,AGACAGIL,116101-16,TARLA,1480,MUSTAKIL PARSEL,KANDIRA,,0,0,,0,1,0,0,1,0,0,0
2810000,ANTALYA,KEMER,KUZDERE,38288-552,TARLA,14050,MUSTAKIL PARSEL,KEMER,,,,,0,0,1,0,1,1,0,0
4000000,YALOVA,TERMAL,GOKCEDERE,692400-37,M_A,1725,,,,,,,0,0,0,0,1,0,0,0
700000,ANTALYA,KAS,YUVACIK,118345-88,BAHCE,15000,MUSTAKIL PARSEL,MUGLA,47,105,30,,0,0,1,1,0,0,0,1
850000,CANAKKALE,LAPSEKI,SULUCA,78920-446,TARLA,4226,MUSTAKIL PARSEL,LAPSEKI,200,127,15,,0,0,1,0,1,0,0,0
119000,KOCAELI,KANDIRA,AKBAL,52703-363,BAHCE,2468,,,,,,,0,0,0,0,1,0,0,0
10500000,DENIZLI,MERKEZEFENDI,SARAYLAR,94398-2873,I_T,798,MUSTAKIL PARSEL,MERKEZEFENDI,"13,15",5151,9,,0,1,0,0,1,0,1,0
65000,TEKIRDAG,SARAY,KAVACIK,99001-169,TARLA,370,,,,,,,0,0,0,1,0,0,0,0
500000,AYDIN,EFELER,KOCAGUR,116094-27,TARLA,4500,MUSTAKIL PARSEL,EFELER,"4,5",,,,0,1,0,0,1,0,1,0
115000,KONYA,HADIM,GOYNUKKISLA,87791-4514,TARLA,31516,,,,,,,0,0,1,0,1,0,1,0
175000,KAYSERI,KOCASINAN,BOYACI,88182-278,TARLA,6800,TAHSIS,KOCASINAN,,,,,0,0,1,0,1,0,0,0
120000,SAKARYA,ADAPAZARI,ALANDUZU,86969-616,TARLA,1600,,,,,,,0,0,0,0,1,0,0,0
3350000,ANTALYA,KEPEZ,KIZILLI,117287-14,BAHCE,30505,,,,,,,0,0,0,0,1,0,0,0
