FIYAT,IL,ILCE,MAHALLE,ILAN_NO,ARSA_TIPI,METREKARE,TAPU_DURUMU,ILGILI_BELEDIYE,METREKARE_BIRIM_FIYATI,ADA,PARSEL,KIRA_GETIRISI,TAKAS_BILINMIYOR,TAKAS_EVET,TAKAS_HAYIR,KAT_KARSILIGI_EVET,KAT_KARSILIGI_HAYIR,KREDIYE_UYGUNLUK_BILINMIYOR,KREDIYE_UYGUNLUK_UYGUN,KREDIYE_UYGUNLUK_UYGUN DEGIL
180000,CANAKKALE,LAPSEKI,GURECI,70072-582,I_K,318,,,,228.0,3.0,,0,0,0,0,1,0,0,0
550000,KONYA,MERAM,CAYIRBAGI,81572-243,BAHCE,1260,MUSTAKIL PARSEL,MERAM,480.0,326.0,33.0,,0,0,1,0,1,0,1,0
980000,MUGLA,MENTESE,KIRAN,116661-7,TARLA,959,,,,,,,0,0,0,0,1,0,0,0
2750000,HATAY,ARSUZ,KARAAGAC SARKONAK,109071-281,I_K,4000,,,,,,,0,0,0,0,1,0,0,0
8000000,SAKARYA,SERDIVAN,YUKARIDEREKOY,68903-1004,I_K,4070,,,,,,,0,0,0,0,1,0,0,0
485000,EDIRNE,MERKEZ,ISTASYON,97747-46,BAHCE,4960,,,,,,,0,0,0,0,1,0,0,0
260000,ANKARA,KAHRAMANKAZAN,FETHIYE,116405-75,BAHCE,500,,,,,,,0,0,0,0,1,0,0,0
1400000,BALIKESIR,AYVALIK,ALTINOVA,24701-5995,TARLA,14500,MUSTAKIL PARSEL,AYVALIK BELEDIYESI,,,,,0,0,1,0,1,0,1,0
177500,BOLU,MERKEZ,ASAGISOKU,92551-29,I_K,275,,,,,,,0,0,0,0,1,0,0,0
950000,ANKARA,GOLBASI,BAHCELIEVLER,14072-9817,I_K,3000,MUSTAKIL PARSEL,GOLBASI,,,8.0,,0,0,1,0,1,0,1,0
1150000,SAKARYA,SERDIVAN,KEMALPASA,84703-297,I_K,880,MUSTAKIL PARSEL,SERDIVAN,1300.0,,,,0,1,0,0,1,0,1,0
400000,TEKIRDAG,SULEYMANPASA,BIYIKALI,116360-67,TARLA,3740,,,,,,,0,0,0,0,1,0,0,0
2100000,MUGLA,MARMARIS,ARMUTALAN,60654-918,I_K,700,MUSTAKIL PARSEL,MARMARI,,,,,0,0,1,0,1,0,1,0
900000,ANTALYA,KONYAALTI,AKKUYU,81303-873,I_K,540,HISSELI TAPU,KOYAALTI,,0.0,0.0,,0,0,1,0,1,0,1,0
200000,MUGLA,MENTESE,BAYIR,115910-55,TARLA,11000,,,,,,,0,0,0,0,1,0,0,0
158000,KONYA,MERAM,COMAKLI,97796-134,TARLA,755,HISSELI TAPU,MERAM,168.0,38863.0,9.0,,0,1,0,1,0,0,0,1
30000000,ISTANBUL,CATALCA,NAKKAS,25444-6400,TARLA,100000,MUSTAKIL PARSEL,CATALCA,300.0,,,,0,0,1,0,1,0,1,0
800000,ANKARA,SINCAN,UCRET,33976-482,BAHCE,10170,MUSTAKIL PARSEL,SINCAN,80.0,162.0,1.0,,0,0,1,0,1,0,1,0
600000,KONYA,CIHANBEYLI,KARSIYAKA,692606-525,TARLA,20210000,MUSTAKIL PARSEL,KONYA,,360.0,2.0,,0,0,1,0,1,0,1,0
600000,EDIRNE,MERKEZ,KOCA SINAN,121068-15,TARLA,4828,BILINMIYOR,,,,,,0,0,1,0,1,1,0,0
3271000,MUGLA,MARMARIS,CAMLI,80481-420,TARLA,6542,MUSTAKIL PARSEL,,500.0,,,,0,0,0,0,1,0,1,0
