,FIYAT,IL,ILCE,MAHALLE,ARSA_TIPI,METREKARE,TAPU_DURUMU,METREKARE_BIRIM_FIYAT,PARSEL,TAKAS_BILINMIYOR,TAKAS_EVET,TAKAS_HAYIR,KAT_KARSILIGI_EVET,KAT_KARSILIGI_HAYIR,KREDIYE_UYGUNLUK_BILINMIYOR,KREDIYE_UYGUNLUK_UYGUN,KREDIYE_UYGUNLUK_UYGUN DEGIL
1,240000,BURSA,YENISEHIR,KOZDERE,TARLA,7750,MUSTAKIL PARSEL,35.0,53.0,0,0,1,0,1,0,0,1
4,115000,ADIYAMAN,KAHTA,CUMHURIYET,M_A,410,MUSTAKIL PARSEL,454.6,124.125,1,0,0,0,1,1,0,0
5,77000,ADANA,ALADAG,CERITLER,I_K,500,MUSTAKIL PARSEL,3848.1353333333336,297.949494949495,1,0,0,0,1,1,0,0
6,185000,ANKARA,AKYURT,SAMUT,TARLA,1410,MUSTAKIL PARSEL,180.0,54.0,0,1,0,0,1,1,0,0
10,215000,CANAKKALE,AYVACIK,BAHARLAR,I_K,1623,MUSTAKIL PARSEL,516.95,11.0,0,1,0,0,1,0,1,0
11,125000,CANAKKALE,AYVACIK,BAHARLAR,I_K,750,HISSELI TAPU,361.9,190.6,0,0,1,0,1,1,0,0
12,320000,ELAZIG,MERKEZ,POYRAZ (POYRAZ),TARLA,8034,MUSTAKIL PARSEL,516.95,89.66666666666667,1,0,0,0,1,1,0,0
13,660000,BALIKESIR,GOMEC,KARAAGAC,I_K,637,MUSTAKIL PARSEL,667.0,37.0,0,1,0,0,1,0,1,0
14,60000,ANKARA,BALA,BEYNAM,I_K,1066,MUSTAKIL PARSEL,516.95,12.0,1,0,0,0,1,1,0,0
15,165000,KOCAELI,KARAMURSEL,INEBEYLI,TARLA,1582,MUSTAKIL PARSEL,516.95,89.66666666666667,0,0,1,0,1,0,1,0
17,240000,BURSA,YENISEHIR,KOZDERE,TARLA,7750,MUSTAKIL PARSEL,35.0,53.0,0,0,1,0,1,0,0,1
20,115000,ADIYAMAN,KAHTA,CUMHURIYET,M_A,410,MUSTAKIL PARSEL,454.6,124.125,1,0,0,0,1,1,0,0
