FIYAT,IL,ILCE,MAHALLE,ILAN_NO,ARSA_TIPI,METREKARE,KREDIYE_UYGUNLUK,TAPU_DURUMU,TAKAS,KAT_KARSILIGI,ILGILI_BELEDIYE,METREKARE_BIRIM_FIYAT,ADA,PARSEL,KIRA_GETIRISI
315000,Antalya,KorkutelI,Uzunoluk,91556-69,Imarlı - Konut,598,Uygun,MustakIl Parsel,Hayır,Hayır,,,1371,4,
370000,Ankara,cankaya,KeklIk Pınarı,118189-20,Konut+TIcaret,148,Uygun degIl,HIsselI Tapu,Hayır,Hayır,cANKAYA,2500,27723,5,
1200000,DenIzlI,MerkezefendI,Altıntop,102131-2157,Imarlı - TIcarI,204,Uygun,MustakIl Parsel,Evet,Hayır,MERKEZEFENDI,,0,0,
2000000,Adana,Seyhan,Akkapı,77451-956,Tarla,11500,Uygun,MustakIl Parsel,Hayır,Hayır,SEYHAN,,,,
215000,Hatay,Payas,KaracamI,18109-4353,Imarlı - Konut,559,,,,Evet,,,,,
100000,Konya,Selcuklu,Tatkoy,95118-34,Bag,1418,BIlInmIyor,MustakIl Parsel,Hayır,Hayır,SELcUKLU,63,,,
220000,MersIn(Icel),Tarsus,FahrettIn Pasa,114588-33,Imarlı - Konut,466,Uygun,MustakIl Parsel,Evet,Hayır,Tarsus,410,,,
4000000,Yalova,Altınova,Subası (Subası),3165-5319,Imarlı - SanayI,6376,Uygun,MustakIl Parsel,Hayır,Hayır,ALTINOVA,,,,
4050000,Istanbul,Bagcılar,15 Temmuz,46626-738,Imarlı - TIcarI,342,BIlInmIyor,MustakIl Parsel,Hayır,Hayır,,,,,
1050000,MersIn(Icel),Anamur,FatIh,119453-15,Tarla,2500,Uygun,HIsselI Tapu,Hayır,Hayır,ANAMUR,,,,
250000,Amasya,MerzIfon,Bugdaylı,84489-271,Tarla,21016,,,,Hayır,,,,,
600000,BalıkesIr,Erdek,Tatlısu,117664-21,Tarla,1800,Uygun,BIlInmIyor,Hayır,Hayır,Erdek,,,,
6000000,Ankara,cankaya,Alacaatlı,3763-5379,Imarlı - Konut,1000,,,,Hayır,,,,,
67500,Ankara,Bala,sentepe,77383-253,Tarla,16895,,MustakIl Parsel,,Hayır,BALA,4000,,,
195000000,KocaelI,Kartepe,UzuncIftlIk,66791-114,Imarlı - SanayI,130000,,,,Hayır,KARTEPE,,,,
465000,TekIrdag,Kapaklı,Kazım KarabekIr,0-35730316,Imarlı - Konut,625,,,,Hayır,,,,,
135000,Ankara,Golbası,Yaylabag,10249-2603,Imarlı - Konut,153,,,,Hayır,GoLBAsI BELEDIYESI,,,,
2000000,MersIn(Icel),Anamur,Ovabası,119453-14,Tarla,10600,Uygun,MustakIl Parsel,Hayır,Hayır,ANAMUR,,,,
2250000,KocaelI,BasIskele,SepetlIpınar,64169-67,Imarlı - SanayI,2020,Uygun,MustakIl Parsel,Hayır,Hayır,basIskele,1,760,5,
175000,Konya,Meram,Yaylapınar,119393-12,Bahce,1000,Uygun,HIsselI Tapu,Evet,Hayır,MERAM,,38336,27,
395000,MersIn(Icel),Toroslar,caglarca,90520-636,Bahce,3609,Uygun,,Hayır,Hayır,Toroslar,,138,4,
180000,Konya,Kulu,Kozanlı,67219-472,Imarlı - Konut,7324,Uygun,MustakIl Parsel,Hayır,Hayır,KULU,24,156,1,
80000000,Istanbul,Esenyurt,Talatpasa,83415-480,Imarlı - TIcarI,11000,Uygun,MustakIl Parsel,Evet,Evet,ESENYURT,,0,0,
52000,KırklarelI,Luleburgaz,HamItabat,110164-87,Tarla,892,Uygun,MustakIl Parsel,Hayır,Hayır,LuLEBURGAZ,,0,0,
150000,Antalya,Aksu,Topallı,65609-1787,Tarla,17000,Uygun,MustakIl Parsel,Hayır,Hayır,aksu,,,,
2300000,MersIn(Icel),Tarsus,Kemalpasa,89240-616,Imarlı - SanayI,3099,,,,Hayır,,,,,
300000,Ankara,Kahramankazan,Ine,4629-4145,Tarla,17838,,,,Hayır,,,,,
185000,KocaelI,Karamursel,Yalakdere,56374-1387,Tarla,1666,Uygun,MustakIl Parsel,Hayır,Hayır,KARAMuRSEL,,,,
840000,BalıkesIr,Altıeylul,GazIosmanpasa,43208-1785,Imarlı - Konut,378,,MustakIl Parsel,,Hayır,ALTIEYLuL,,,,
200000,GazIantep,sahInbey,Ufacık,76115-468,Bahce,3191,,MustakIl Parsel,Evet,Hayır,sAHINBEY,,113,3,
240000,IzmIr,Guzelbahce,camlı,91622-3974,Tarla,3074,,,,Hayır,,,,,
150000,Samsun,Terme,EvcI,116358-45,Bahce,6800,Uygun,MustakIl Parsel,Hayır,Hayır,TERME,22,,,
399000,Bursa,OsmangazI,caglayan,115984-100,Imarlı - Konut,540,BIlInmIyor,MustakIl Parsel,,Hayır,OsmangazI,,,,
70000,Ankara,cankaya,Tohumlar,85000-418,Tarla,3100,,HIsselI Tapu,Hayır,Hayır,cANKAYA,,,,
250000,Burdur,cavdır,Bolmepınar,88351-230,Tarla,25530,Uygun,,Evet,Hayır,,,,,
575000,BalıkesIr,Ayvalık,Namık Kemal,42916-1548,ZeytInlIk,5230,Uygun,MustakIl Parsel,Hayır,Hayır,ayvalık,,,,
224000,Ankara,SIncan,ucret,48228-1816,Tarla,6402,BIlInmIyor,MustakIl Parsel,Hayır,Hayır,SINCAN,,116,,
1000,Ankara,EtImesgut,Goksu,81610-6711,Imarlı - Konut,11900,BIlInmIyor,MustakIl Parsel,Hayır,Evet,YENIMAHALLE,,1111,1111,
195000,Ankara,Golbası,Ballıkpınar,10249-2598,Imarlı - Konut,1500,Uygun,MustakIl Parsel,,Hayır,GoLBAsI,,,,
11200000,Istanbul,Beykoz,RIva,2995-146,Imarlı - Konut,5329,Uygun,MustakIl Parsel,Hayır,Hayır,BEYKOZ,,,1198,
59000,BalıkesIr,Kepsut,KecIdere,108245-711,MuhtelIf Arsa,864,,Kat MulkIyetI,,Hayır,,,,,
550000,canakkale,Ayvacık,Arıklı,88709-282,ZeytInlIk,1947,,,,Hayır,,,,,
1750000,Bolu,Merkez,Sandallar,36137-765,Imarlı - Konut,1158,,MustakIl Parsel,Hayır,Hayır,BOLU,1000,1799,12,
760000,Bartın,Merkez,KocareIs,113552-17,MuhtelIf Arsa,11868,Uygun,MustakIl Parsel,Evet,Hayır,BARTIN,,115,39,
115000,BalıkesIr,Bandırma,YenI,119599-11,MuhtelIf Arsa,174,Uygun,HIsselI Tapu,Evet,Hayır,BANDIRMA,174,11,40,
900000,IzmIr,Menderes,sasal,51442-1699,Imarlı - TIcarI,380,,,,Hayır,,,,,
343000,BalıkesIr,EdremIt,Kadıkoy,6579-2060,Imarlı - TIcarI,310,Uygun,MustakIl Parsel,Hayır,Hayır,EDREMIT,1100,,,
308000,KayserI,Talas,ResadIye,0-35812290,MuhtelIf Arsa,486,BIlInmIyor,MustakIl Parsel,Hayır,Hayır,TALAS,,1463,5,
90000,canakkale,EzIne,Kızılkoy,118156-18,Tarla,7400,BIlInmIyor,MustakIl Parsel,Hayır,Hayır,EzIne,12163,,1112,
135000,IzmIr,Bergama,KaravelIler,95191-184,Imarlı - Konut,275,,MustakIl Parsel,,Hayır,BERGAMA,,,,
330000,Van,EdremIt,Bakacık,50626-2036,Tarla,4900,Uygun,MustakIl Parsel,Hayır,Hayır,EDREMIT BELEDIYESI,65,0,117,1000
65000,canakkale,Merkez,cınarlı,92215-1446,Tarla,27500,,,,Evet,cANAKKALE,,0,941,
240000,Adana,Seyhan,Mıdık,77451-1171,Imarlı - Konut,435,Uygun,MustakIl Parsel,Hayır,Hayır,SEYHAN,,,,
350000,BalıkesIr,EdremIt,ZeytInlI,83306-106,ZeytInlIk,7000,Uygun,MustakIl Parsel,Hayır,Hayır,,,,,
375000,BalıkesIr,Manyas,Dura,0-28152456,Bahce,9000,Uygun,MustakIl Parsel,Hayır,Hayır,manyas balıkesIr,42,115,14,
789000,IzmIr,Menemen,cavus,109304-103,Tarla,11000,,,,Hayır,,,,,
15750000,Ankara,YenImahalle,Macun,71571-275,Hastane (Saglık TesIsI),3500,BIlInmIyor,MustakIl Parsel,Evet,Hayır,YENIMAHALLE,4500,1,1,1
1590000,Antalya,FInIke,YenI,113731-352,Tarla,5224,Uygun,,Hayır,Hayır,,,,,
435000,EskIsehIr,Tepebası,SakIntepe,93644-726,Tarla,7389,,MustakIl Parsel,Hayır,Hayır,,,12654,24,
255000,Mugla,Yatagan,YenI,0-35949267,ZeytInlIk,5300,,,,Hayır,,,,,
225000,Ankara,Kahramankazan,Sarılar,116405-13,Bahce,2467,,,,Hayır,,,,,
250000,IzmIr,Menderes,catalca,71254-338,Tarla,1700,Uygun,,Hayır,Hayır,Menderes,,,,
1250000,Antalya,Kepez,YenI Dogan,82001-110,Konut+TIcaret,484,Uygun,MustakIl Parsel,Evet,Hayır,Kepez,2500,7046,2,10000
60000,TekIrdag,Hayrabolu,Kucukkarakarlı,46776-1122,Tarla,3850,,,,Hayır,,,,,
170000,Ankara,EtImesgut,Yukarıyurtcu,4629-4306,Tarla,650,,HIsselI Tapu,,Hayır,EtImesgut,,,167,
750000,Aydın,Efeler,sahnalı,91109-484,ZeytInlIk,14300,Uygun,HIsselI Tapu,Hayır,Hayır,,,,,
920000,Ankara,EtImesgut,Baglıca,8161-22470,Imarlı - Konut,800,,,,Hayır,,,,,
395000,IzmIr,Bergama,Yukarıbey,95191-66,cIftlIk,18650,Uygun,MustakIl Parsel,,Hayır,BERGAMA,,,,
33500000,Hatay,Payas,YenIsehIr,108831-152,Imarlı - SanayI,40440,Uygun,MustakIl Parsel,,Hayır,Payas,837,,,
60000,Bursa,OsmangazI,Hamzabey,114757-65,Imarlı - Konut,40,BIlInmIyor,MustakIl Parsel,,Hayır,OSMANGAZI,,,,
850000,Mugla,Dalaman,serefler,0-35895877,Tarla,2130,,HIsselI Tapu,Hayır,Hayır,DALAMAN,,178,785,
1070000,Hatay,Dortyol,ozerlI,81305-565,Imarlı - SanayI,7900,Uygun degIl,HIsselI Tapu,Hayır,Hayır,DoRTYOL,,,,
1600000,Antalya,Kepez,Varsak Karsıyaka,91219-269,Imarlı - Konut,1440,BIlInmIyor,MustakIl Parsel,Hayır,Hayır,KEPEZ,1111,105,9,
700000,Ankara,EtImesgut,Yapracık,1248-1811,Imarlı - Konut,500,Uygun,HIsselI Tapu,Hayır,Hayır,,1400,,,
550000,IzmIr,Karaburun,AnbarsekI,117602-9,ozel Kullanım,1790,Uygun,MustakIl Parsel,Hayır,Hayır,karaburun,,,,
2500000,Istanbul,BeylIkduzu,Gurpınar,101956-1076,Imarlı - Konut,710,Uygun,MustakIl Parsel,,Hayır,,,,,10000
1199990,IzmIr,Menderes,Atakoy,104916-28,Tarla,20000,,,,Hayır,,,,,
6000000,TekIrdag,corlu,Esentepe,52848-306,Imarlı - Konut,13750,BIlInmIyor,MustakIl Parsel,Hayır,Hayır,cORLU,437,,,
75000,Antalya,KorkutelI,Avdan,80358-788,Tarla,6432,Uygun,,,Hayır,,,169,10,
1300000,Istanbul,catalca,KestanelIk,8088-1746,Tarla,2700,Uygun degIl,MustakIl Parsel,Hayır,Hayır,,,,,
600000,Ankara,KecIoren,Yukseltepe,4229-4181,Imarlı - Konut,371,Uygun,HIsselI Tapu,Hayır,Evet,KEcIoREN,,30133,5,
2062000,Yalova,cIftlIkkoy,SultanIye,83996-1016,Bag,13750,Uygun,MustakIl Parsel,Evet,Evet,YALOVA,,0,0,
3000000,Mugla,Bodrum,BItez,43038-679,Bahce,3000,,MustakIl Parsel,Hayır,Hayır,,,,,
42500,TekIrdag,Kapaklı,Bahceagıl,115640-50,Tarla,423,,HIsselI Tapu,,Hayır,Kapaklı,95,0,814,
450000,KocaelI,Karamursel,Kayacık,35076-2187,Imarlı - Konut,935,Uygun,MustakIl Parsel,Evet,Hayır,KARAMuRSEL,,,,
400000,Yalova,Altınova,orencIk,119103-32,Tarla,8000,,,,Hayır,,,,,
1400000,Mugla,Ula,Koprubası,26998-1696,Konut+TIcaret,1334,Uygun,,,Hayır,,,,,
765000000,Istanbul,Esenyurt,Esenkent,3568-3840,Imarlı - Konut,120000,,,,Hayır,,,,,
600000,Yalova,Altınova,Kaytazdere (Kaytazdere),80357-238,Imarlı - Konut,659,Uygun,BIlInmIyor,Evet,Hayır,,,,,
2500000,Bursa,NIlufer,Yaylacık,109788-98,cIftlIk,6900,BIlInmIyor,MustakIl Parsel,,Hayır,NILuFER,363,,,
475000,Antalya,Aksu,Kemeragzı,71299-478,MuhtelIf Arsa,358,,MustakIl Parsel,,Hayır,AKSU,,,,
120000,BalıkesIr,Erdek,Yukarıyapıcı,95956-542,Bahce,1516,,,,Hayır,,,,,
25500,TekIrdag,cerkezkoy,Istasyon,65028-3078,Toplu Konut IcIn TahsIs,8888,Uygun degIl,HIsselI Tapu,Evet,Hayır,CERKEZKoY,,1116,1,1000
127000,ManIsa,Yunusemre,ucpınar,34970-1986,Imarlı - Konut,505,,MustakIl Parsel,Hayır,Hayır,,,,,
165000,Ankara,Pursaklar,Abadan,4581-5403,Tarla,3418,,,Hayır,Hayır,,,,,
215000,BalıkesIr,BurhanIye,Kızıklı,48018-1109,ZeytInlIk,1450,Uygun,MustakIl Parsel,Hayır,Hayır,,,,,
62000,Ankara,Polatlı,BeycegIz,64203-598,ozel Kullanım,780,,,,Hayır,,,,,
25000000,Istanbul,Arnavutkoy,Hacımaslı,45647-1019,Tarla,57629,,MustakIl Parsel,,Hayır,ARNAVUTKoY,1000,,,
80000,IzmIr,Bergama,orlemIs,63603-289,Tarla,1600,Uygun,MustakIl Parsel,Hayır,Hayır,Bergama BeledIyesI,,0,0,
460000,Ankara,cankaya,Yasamkent,51337-159,Imarlı - TIcarI,219,Uygun,MustakIl Parsel,Hayır,Evet,cANKAYA,,0,0,
210000,K.K.T.C.,GIrne,Lapta,81323-787,Imarlı - Konut,2900,,,,Hayır,,,,,
2200000,TekIrdag,Suleymanpasa,Kayı,82622-885,ozel Kullanım,22600,,,,Hayır,SuLEYMANPAsA,,,,
16500,Konya,Akoren,Alankoy,68123-1907,Tarla,5078,Uygun,MustakIl Parsel,Evet,Hayır,AKoREN,4,0,0,
230000,IzmIr,DIkIlI,candarlı,63545-333,Imarlı - Konut,312,,,,Evet,,,,,
110000,MersIn(Icel),Tarsus,YesIlyurt,114588-106,Imarlı - Konut,82,Uygun degIl,HIsselI Tapu,Evet,Hayır,Tarsus,115,,,
115000,EskIsehIr,Sarıcakaya,Kapıkaya,89238-1181,Bahce,3100,Uygun,MustakIl Parsel,,Hayır,,,,,
1150000,Istanbul,Arnavutkoy,Sazlıbosna,37082-9215,Tarla,2350,Uygun degIl,,,Hayır,ARNAVUTKoY,,,,
500000,Duzce,Merkez,sıralık,57593-1724,Imarlı - Konut,1000,Uygun,MustakIl Parsel,Hayır,Hayır,DuZCE,500,,931,
3500000,Mugla,Mentese,Gulagzı,119487-26,Imarlı - Konut,5969,,,,Evet,,,,,
55000,Ankara,Polatlı,Hacıtugrul,14976-2011,MuhtelIf Arsa,1500,Uygun,,,Hayır,POLATLI,,,,
130000,Mugla,Yatagan,Kavak,692350-49,ZeytInlIk,11000,BIlInmIyor,MustakIl Parsel,Hayır,Hayır,YATAgAN,,,,
80000000,Istanbul,Arnavutkoy,Arnavutkoy Merkez,84703-203,Konut+TIcaret,13500,Uygun,MustakIl Parsel,Evet,Hayır,Arnavutkoy,6000,,,
6000000,Mugla,Bodrum,Torba,25898-2324,Imarlı - Konut,4300,Uygun,,,Hayır,BODRUM,,,,
2700000,Mugla,MIlas,Kurudere,26998-1913,ZeytInlIk,29587,,,,Hayır,,,,,
230000,Mugla,Yatagan,Hacıbayramlar,107817-111,Tarla,20000,,,,Hayır,,,,,
245000,TekIrdag,Ergene,Marmaracık,64979-60,Imarlı - Konut,548,Uygun,MustakIl Parsel,Hayır,Hayır,ERGENE,447,,,
112500,Istanbul,catalca,DagyenIce,8088-1669,MuhtelIf Arsa,250,Uygun degIl,MustakIl Parsel,Hayır,Hayır,cATALCA,,,,
90000,DenIzlI,Babadag,Mollaahmet,119283-66,Tarla,2300,Uygun,MustakIl Parsel,Hayır,Hayır,BABADAg,1,1,1,
6300000,TekIrdag,Kapaklı,Karaagac OSB,3568-5539,Imarlı - SanayI,5300,,,,Hayır,,,,,
20000,IzmIr,Karsıyaka,ornekkoy,25424-2737,Konut+TIcaret,1000,,,,Evet,,,,,
8350000,IzmIr,Urla,YenIce,0-32844295,Tarla,10450,Uygun degIl,,Hayır,Hayır,URLA,800,3472,1,
25000000,KocaelI,Kartepe,Sarımese,58016-4896,"Depo, Antrepo IzInlI",6500,Uygun,MustakIl Parsel,,Evet,,6500,,,
560000,Antalya,KorkutelI,Kemeragzı,118442-150,Tarla,22000,,,,Hayır,,,,,
425000,Istanbul,Sarıyer,Tarabya,1994-1739,Tarla,216,Uygun degIl,HIsselI Tapu,Hayır,Hayır,Sarıyer,1,1,1,1
65000,Karaman,Merkez,Beyazkent,117096-17,Imarlı - Konut,299,,,,Hayır,,,,,
1220000,IzmIr,Menemen,9 Eylul,108805-592,Imarlı - Konut,391,,,,Hayır,,,,,
306000,ManIsa,sehzadeler,Ahmet BedevI,34970-1842,Imarlı - Konut,322,BIlInmIyor,MustakIl Parsel,Hayır,Hayır,,,,,
1200000,Mugla,FethIye,InlIce,46177-219,Bahce,7100,Uygun,MustakIl Parsel,Hayır,Hayır,fethIye,,,,
260000,IzmIr,AlIaga,GuzelhIsar,101854-186,Tarla,5500,,,,Hayır,ALIAgA,,,,
2000000,Ankara,SIncan,Alcı,46578-361,Tarla,16200,,MustakIl Parsel,,Hayır,SINCAN,123,533,84,
1400,EskIsehIr,Tepebası,Asagıkartal,65789-1659,Tarla,1400,,,,Hayır,,,,354,
1400000,BalıkesIr,Gomec,Yaya,79781-1033,Imarlı - Konut,2182,Uygun,,Evet,Evet,,,,,
830000,TekIrdag,Hayrabolu,EmIryakup,81275-683,Tarla,55600,Uygun,MustakIl Parsel,Hayır,Hayır,HAYRABOLU,15,,,
