FIYAT,IL,ILCE,MAHALLE,ILAN_NO,ARSA_TIPI,METREKARE,KREDIYE_UYGUNLUK,TAPU_DURUMU,TAKAS,KAT_KARSILIGI,ILGILI_BELEDIYE,METREKARE_BIRIM_FIYATI,ADA,PARSEL,KIRA_GETIRISI
180000,Canakkale,LapsekI,GUrecI,70072-582,Imarlı - Konut,318,,,,Hayır,,,228,3,
550000,Konya,Meram,CayırbaGı,81572-243,BahCe,1260,Uygun,MUstakIl Parsel,Hayır,Hayır,MERAM,480,326,33,
980000,MuGla,MenteSe,Kıran,116661-7,Tarla,959,,,,Hayır,,,,,
2750000,Hatay,Arsuz,KaraaGaC Sarkonak,109071-281,Imarlı - Konut,4000,,,,Hayır,,,,,
8000000,Sakarya,SerdIvan,YukarıderekOy,68903-1004,Imarlı - Konut,4070,,,,Hayır,,,,,
485000,EdIrne,Merkez,Istasyon,97747-46,BahCe,4960,,,,Hayır,,,,,
260000,Ankara,Kahramankazan,FethIye,116405-75,BahCe,500,,,,Hayır,,,,,
1400000,BalıkesIr,Ayvalık,Altınova,24701-5995,Tarla,14500,Uygun,MUstakIl Parsel,Hayır,Hayır,Ayvalık BeledIyesI,,,,
177500,Bolu,Merkez,ASaGısoku,92551-29,Imarlı - Konut,275,,,,Hayır,,,,,
950000,Ankara,GOlbaSı,BahCelIevler,14072-9817,Imarlı - Konut,3000,Uygun,MUstakIl Parsel,Hayır,Hayır,GOLBASI,,,8,
1150000,Sakarya,SerdIvan,KemalpaSa,84703-297,Imarlı - Konut,880,Uygun,MUstakIl Parsel,Evet,Hayır,SerdIvan,1300,,,
400000,TekIrdaG,SUleymanpaSa,BıyıkalI,116360-67,Tarla,3740,,,,Hayır,,,,,
2100000,MuGla,MarmarIs,Armutalan,60654-918,Imarlı - Konut,700,Uygun,MUstakIl Parsel,Hayır,Hayır,marmarI,,,,
900000,Antalya,Konyaaltı,Akkuyu,81303-873,Imarlı - Konut,540,Uygun,HIsselI Tapu,Hayır,Hayır,KOYAALTI,,0,0,
200000,MuGla,MenteSe,Bayır,115910-55,Tarla,11000,,,,Hayır,,,,,
158000,Konya,Meram,Comaklı,97796-134,Tarla,755,Uygun deGIl,HIsselI Tapu,Evet,Evet,MERAM,168,38863,9,
30000000,Istanbul,Catalca,NakkaS,25444-6400,Tarla,100000,Uygun,MUstakIl Parsel,Hayır,Hayır,CATALCA,300,,,
800000,Ankara,SIncan,Ucret,33976-482,BahCe,10170,Uygun,MUstakIl Parsel,Hayır,Hayır,SIncan,80,162,1,
